Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,1,Higher,CHHABILBHAI NARANBHAI PATEL,INC,60704,ABDASA,42.32,5.31,100
2012,1,Lower,BHANUSHALI JAYANTILAL PARSOTTAM,BJP,53091,ABDASA,37.01,23.33,100
2012,2,Higher,CHHEDA TARACHAND JAGSHIBHAI,BJP,61984,MANDVI,44.44,6.1,79.88906089
2012,2,Lower,PARMAR KISHORSINH RAJENDRASINH,INC,53478,MANDVI,38.34,29.22,79.88906089
2012,3,Higher,DR. NIMABEN AACHARYA,BJP,69174,BHUJ,44.93,5.83,37.4702747
2012,3,Lower,AMIRALI HAJIHUSHEN LODHIYA,INC,60201,BHUJ,39.1,28.55,37.4702747
2012,4,Higher,AHIR VASANBHAI GOPALBHAI,BJP,64789,ANJAR,47.16,3.44,73.9858625
2012,4,Lower,V.K. HUMBAL,INC,60061,ANJAR,43.72,41.07,73.9858625
2012,5,Higher,MAHESHWARI RAMESH VACHCHHRAJ,BJP,72988,GANDHIDHAM,52.75,15.4,24.54098338
2012,5,Lower,CHAVADA JAYSHREEBEN AJITBHAI,INC,51675,GANDHIDHAM,37.35,33.89,24.54098338
2012,6,Higher,VAGHAJIBHAI DHARAMSHIBHAI PATEL,BJP,55280,RAPAR,46.79,7.8,90.38113813
2012,6,Lower,GADA BABULAL MEGHAJI SHAH,INC,46064,RAPAR,38.99,34.63,90.38113813
2012,7,Higher,SHANKARBHAI LAGDHIRBHAI PATEL (CHAUDHARY),BJP,72640,VAV,41.33,6.78,94.07161502
2012,7,Lower,THAKOR GENIBEN NAGAJI,INC,60729,VAV,34.55,17.38,94.07161502
2012,8,Higher,PARABATBHAI SAVABHAI PATEL,BJP,68517,THARAD,42.35,2.15,91.56698835
2012,8,Lower,MAVJIBHAI CHATRABHAI PATEL,INC,65044,THARAD,40.2,31.5,91.56698835
2012,9,Higher,JOITABHAI KASNABHAI PATEL,INC,87460,DHANERA,55.12,19.09,91.46442114
2012,9,Lower,PUROHIT VASANTBHAI RANCHHODJI,BJP,57169,DHANERA,36.03,32.94,91.46442114
2012,10,Higher,KHARADI KANTIBHAI KALABHAI,INC,73751,DANTA,50.64,18.53,95.02985781
2012,10,Lower,GAMABHAI BHIKHABHAI KHARADI,BJP,46761,DANTA,32.11,23.57,95.02985781
2012,11,Higher,MANILAL JETHABHAI VAGHELA,INC,90375,VADGAM,53.48,12.92,92.14773351
2012,11,Lower,VAGHELA FAKIRBHAI RAGHABHAI,BJP,68536,VADGAM,40.56,37.49,92.14773351
2012,12,Higher,MAHESHKUMAR AMRUTLAL PATEL,INC,75097,PALANPUR,47.69,3.36,57.66498433
2012,12,Lower,PRAJAPATI GOVINDBHAI MADHAVLAL,BJP,69813,PALANPUR,44.34,40.99,57.66498433
2012,13,Higher,VAGHELA LILADHARBHAI KHODAJI,BJP,66294,DEESA,42.56,11.37,68.62731817
2012,13,Lower,JOSHI RAJENDRAKUMAR DHUDALAL (RAJUBHAI JOSHI),INC,48588,DEESA,31.19,17.61,68.62731817
2012,14,Higher,CHAUHAN KESHAJI SHIVAJI,BJP,76265,DEODAR,48.95,13.36,93.94193927
2012,14,Lower,RABARI GOVABHAI HAMIRABHAI,INC,55456,DEODAR,35.6,27.33,93.94193927
2012,15,Higher,KHANPURA DHARSHIBHAI LAKHABHAI,INC,73900,KANKREJ,45.18,0.37,94.90626225
2012,15,Lower,VAGHELA KIRTISINH PRABHATSINH,BJP,73300,KANKREJ,44.81,40.31,94.90626225
2012,16,Higher,THAKOR NAGARJI HARCHANDJI,BJP,69493,RADHANPUR,45.91,2.53,88.72191384
2012,16,Lower,BHAVSINHJI DAYAJI RATHOD,INC,65659,RADHANPUR,43.38,39.92,88.72191384
2012,17,Higher,DILIPKUMAR VIRAJIBHAI THAKOR,BJP,83462,CHANASMA,51.89,10.46,89.07965499
2012,17,Lower,THAKOR DINESHBHAI AATAJI,INC,66638,CHANASMA,41.43,39.69,89.07965499
2012,18,Higher,DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL),BJP,67224,PATAN,41.08,3.59,63.10517775
2012,18,Lower,THAKOR JODHAJI GALABJI,INC,61353,PATAN,37.49,27.04,63.10517775
2012,19,Higher,BALVANTSINH CHANDANSINH RAJPUT,INC,87518,SIDHPUR,54.09,15.96,77.34237219
2012,19,Lower,JAYNARAYAN NARMADA SHANKAR VYAS,BJP,61694,SIDHPUR,38.13,36.53,77.34237219
2012,20,Higher,DHABHI BHARATSIGHJI SANKARJI,BJP,68195,KHERALU,53.8,14.51,92.06421868
2012,20,Lower,THAKOR BABUJI UJAMJI,INC,49809,KHERALU,39.3,35.74,92.06421868
2012,21,Higher,NARAYANBHAI LALLUDAS PATEL,BJP,75708,UNJHA,55.77,17.83,68.72460426
2012,21,Lower,DR. ASHA PATEL,INC,51507,UNJHA,37.94,35.18,68.72460426
2012,22,Higher,RUSHIKESH GANESHBHAI PATEL,BJP,76185,VISNAGAR,54,20.84,70.73244206
2012,23,Higher,RAJANIKANT SOMABHAI PATEL,BJP,68447,BECHARAJI,44.74,4.22,94.37671156
2012,23,Lower,DARBAR RAJENDRASINH UDESINHJI,INC,61991,BECHARAJI,40.52,31.37,94.37671156
2012,24,Higher,CHAVADA RAMESHBHAI MAGANBHAI,INC,84276,KADI,47.61,0.69,76.96189277
2012,24,Lower,HITU KANODIYA,BJP,83059,KADI,46.92,45.12,76.96189277
2012,25,Higher,NITINKUMAR RATILAL PATEL,BJP,90134,MEHSANA,55.17,14.82,41.45907684
2012,25,Lower,NATVARLAL PITAMBARDAS PATEL,INC,65929,MEHSANA,40.35,38.53,41.45907684
2012,26,Higher,PRAHLADBHAI ISHWARBHAI PATEL,INC,70729,VIJAPUR,49.26,6.1,85.47
2012,26,Lower,KANTIBHAI RAMABHAI PATEL,BJP,61970,VIJAPUR,43.16,39.36,85.47
2012,27,Higher,CHAVDA RAJENDRASINH RANJITSINH (RAJUBHAI CHAVDA),INC,85008,HIMATNAGAR,48.69,7.08,70.25183661
2012,27,Lower,PRAFULBHAI KHODABHAI PATEL,BJP,72652,HIMATNAGAR,41.61,39.67,70.25183661
2012,28,Higher,RAMANLAL ISHVARLAL VORA,BJP,90279,IDAR,49.38,6.22,82.02711692
2012,28,Lower,SOLANKI RAMABHAI VIRCHANDBHAI,INC,78899,IDAR,43.15,40.98,82.02711692
2012,29,Higher,ASHWIN KOTVAL,INC,88488,KHEDBRAHMA,59.35,33.63,92.17228578
2012,29,Lower,MAKWANA BHOJABHAI HUJABHAI,BJP,38351,KHEDBRAHMA,25.72,18.15,92.17228578
2012,30,Higher,ANIL JOSHIYARA,INC,95799,BHILODA,54.71,18.01,93.00224697
2012,30,Lower,NILABEN HASMUKHBHAI MADIYA,BJP,64256,BHILODA,36.7,33.06,93.00224697
2012,31,Higher,THAKOR RAJENDRASINH SHIVSINH,INC,88879,MODASA,54.11,13.92,79.46064768
2012,31,Lower,PARMAR DILIPSINH VAKHATSINH,BJP,66021,MODASA,40.19,36.63,79.46064768
2012,32,Higher,VAGHELA MAHENDRASINH SHANKARSINH,INC,74646,BAYAD,48.57,23.37,89.65351758
2012,32,Lower,JHALA UDESINH PUJAJI,BJP,38723,BAYAD,25.19,6.42,89.65351758
2012,33,Higher,BARAIYA MAHENDRASINH KACHARSINH ( ADVOCATE ),INC,76097,PRANTIJ,47.85,4.41,86.71381454
2012,33,Lower,CHAUHAN JAYSINHJI MANSINHJI,BJP,69083,PRANTIJ,43.44,39.74,86.71381454
2012,34,Higher,RATHOD KAMINIBA BHUPENDRASINH,INC,61043,DEHGAM,47.5,1.79,77.32280114
2012,34,Lower,THAKOR ROHITJI CHANDUJI,BJP,58746,DEHGAM,45.71,42.45,77.32280114
2012,35,Higher,THAKOR SHAMBHUJI CHELAJI,BJP,87999,GANDHINAGAR SOUTH,49.54,4.51,59.3200272
2012,35,Lower,THAKOR JUGAJI NATHAJI,INC,79988,GANDHINAGAR SOUTH,45.03,42.8,59.3200272
2012,36,Higher,ASHOKKUMAR RANCHHODBHAI PATEL,BJP,73551,GANDHINAGAR NORTH,49.22,2.83,16.00926415
2012,36,Lower,SURESHKUMAR CHATURDAS PATEL,INC,69326,GANDHINAGAR NORTH,46.39,44.9,16.00926415
2012,37,Higher,CHAUDHARI AMITBHAI HARISINGBHAI,INC,78068,MANSA,50.22,5.16,88.4389298
2012,37,Lower,D.D. PATEL,BJP,70040,MANSA,45.06,42.99,88.4389298
2012,38,Higher,THAKOR BALDEVJI CHANDUJI,INC,64757,KALOL,45.25,0.24,44.18
2012,38,Lower,DR. ATULBHAI KALIDAS PATEL,BJP,64414,KALOL,45.01,41.11,44.18
2012,39,Higher,TEJASHREEBEN DILIPKUMAR PATEL,INC,84930,VIRAMGAM,52.76,10.55,83.9052787
2012,39,Lower,PRAGJIBHAI NARANBHAI PATEL,BJP,67947,VIRAMGAM,42.21,39.7,83.9052787
2012,40,Higher,KARAMSIBHAI VIRJIBHAI PATEL,INC,73453,SANAND,47.77,2.7,60.49919912
2012,40,Lower,KAMABHAI GAGJIBHAI RATHOD,BJP,69305,SANAND,45.07,42.25,60.49919912
2012,41,Higher,ANANDIBEN MAFATBHAI PATEL,BJP,154599,GHATLODIA,74.51,53.21,2.191265852
2012,41,Lower,RAMESHBHAI PRAHLADBHAI PATEL (DUDHWALA),INC,44204,GHATLODIA,21.31,19.94,2.191265852
2012,42,Higher,CHAUHAN KISHORSINH BABULAL (KISHOR CHAUHAN),BJP,113507,VEJALPUR,58.21,21.02,0
2012,42,Lower,PATHAN MURTUJAKHAN AKBAR KHAN,INC,72522,VEJALPUR,37.19,36.08,0
2012,43,Higher,PRADIPSINH BHAGWATSINH JADEJA,BJP,95580,VATVA,59.93,29.43,66.67286443
2012,43,Lower,ATULKUMAR RAVJIBHAI PATEL,INC,48648,VATVA,30.5,27.6,66.67286443
2012,44,Higher,SHRI RAKESH SHAH,BJP,106631,ELLIS BRIDGE,70.57,50.74,0
2012,44,Lower,KAMLESHKUMAR BABULAL SHAH,INC,29959,ELLIS BRIDGE,19.83,13.82,0
2012,45,Higher,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),BJP,103988,NARANPURA,69.25,42.18,0
2012,45,Lower,DR. JITUBHAI B. PATEL,INC,40653,NARANPURA,27.07,26.08,0
2012,46,Higher,PANCHAL JAGDISH ISHWARBHAI,BJP,88286,NIKOL,61.31,33.83,0
2012,46,Lower,GHORI NARSINHBHAI JAYRAMBHAI,INC,39574,NIKOL,27.48,23.87,0
2012,47,Higher,WADHWANI NIRMALABEN SUNILBHAI,BJP,96333,NARODA,66.22,40.11,0
2012,47,Lower,BHARWAD BHAVANBHAI SURABHAI,INC,37981,NARODA,26.11,23.05,0
2012,48,Higher,KAKADIYA VALLABHBHAI GOBARBHAI (VALLABHBHAI HIRAWALA),BJP,88731,THAKKARBAPA NAGAR,63.01,34.98,0
2012,48,Lower,GITABEN PRANAVKUMAR PATEL,INC,39480,THAKKARBAPA NAGAR,28.04,23.27,0
2012,49,Higher,RAJPUT JAGRUPSINH GIRDANSINH,BJP,51058,BAPUNAGAR,45.29,2.31,0
2012,49,Lower,SHYANI DHIRUBHAI THAKARSHIBHAI (DHIRUBHAI DHUDHWALA),INC,48455,BAPUNAGAR,42.99,40.16,0
2012,50,Higher,HASMUKHBHAI SOMABHAI PATEL,BJP,108683,AMRAIWADI,67.42,40.58,0
2012,50,Lower,GADHVI BIPINBHAI GOPALBHAI,INC,43258,AMRAIWADI,26.83,24.57,0
2012,51,Higher,GYASUDDIN HABIBUDDIN SHEKH,INC,60967,DARIAPUR,49.18,2.11,0
2012,51,Lower,BHARAT BAROT,BJP,58346,DARIAPUR,47.07,46.17,0
2012,52,Higher,BHATT BHUSHAN ASHOK,BJP,48058,JAMALPUR-KHADIA,38.63,5.09,0
2012,52,Lower,SAMIRKHAN VAJIRKHAN SIPAI,INC,41727,JAMALPUR-KHADIA,33.54,9.01,0
2012,53,Higher,NARENDRA MODI,BJP,120470,MANINAGAR,75.38,54.05,0
2012,53,Lower,BHATT SHWETA SANJIV,INC,34097,MANINAGAR,21.34,20.41,0
2012,54,Higher,SHAILESH MANUBHAI PARMAR,INC,73573,DANILIMDA,53.38,10.37,0
2012,54,Lower,GIRISH PARMAR,BJP,59272,DANILIMDA,43,41.9,0
2012,55,Higher,ARVINDKUMAR GANDALAL PATEL (ARVIND DALAL),BJP,107036,SABARMATI,70.5,44.52,0
2012,55,Lower,BHARATKUMAR GOVINDLAL PATEL (BHARAT VAKIL),INC,39453,SABARMATI,25.99,24.71,0
2012,56,Higher,RAJANIKANT MOHANLAL PATEL (R.M. PATEL),BJP,76829,ASARWA,61.33,27.98,0
2012,56,Lower,SURAJKAR MANGALBHAI HIRABHAI (MANGAL SURAJKAR),INC,41784,ASARWA,33.36,31.8,0
2012,57,Higher,BABUBHAI JAMNADAS PATEL,BJP,95813,DASKROI,55.09,21.64,84.62873347
2012,57,Lower,BARAIYA LAXMANBHAI AMBALAL,INC,58180,DASKROI,33.45,29.22,84.62873347
2012,58,Higher,CHUDASAMA BHUPENDRASINH MANUBHA,BJP,75242,DHOLKA,52.15,13.06,72.62106499
2012,58,Lower,CHAVDA PRADYUMANSINH PRATAPBHAI,INC,56397,DHOLKA,39.09,36.58,72.62106499
2012,59,Higher,LALJIBHAI CHATURBHAI KOLIPATEL,BJP,77573,DHANDHUKA,56.07,20.44,78.55578615
2012,59,Lower,M.M. SHAH,INC,49296,DHANDHUKA,35.63,32.26,78.55578615
2012,60,Higher,MAKWANA PUNAMBHAI KALABHAI,BJP,65404,DASADA,49.16,8,90.28
2012,60,Lower,MANHARLAL MAGANLAL MAKWANA,INC,54764,DASADA,41.16,38.4,90.28
2012,61,Higher,SOMABHAI GANDALAL KOLIPATEL,INC,72203,LIMBDI,45.65,0.99,88.09687483
2012,61,Lower,KIRITSINH JITUBHA RANA,BJP,70642,LIMBDI,44.66,41.43,88.09687483
2012,62,Higher,DOSHI VARSHABEN NARENDRABHAI,BJP,83049,WADHWAN,51.39,10.86,29.4215543
2012,62,Lower,VYAS HIMANSHU CHIMANLAL,INC,65491,WADHWAN,40.52,38.62,29.4215543
2012,63,Higher,SHAMJIBHAI BHIMJIBHAI CHAUHAN,BJP,72111,CHOTILA,50.13,8.32,81.24689116
2012,63,Lower,FATEPARA DEVJIBHAI GOVINDBHAI,INC,60139,CHOTILA,41.81,38.86,81.24689116
2012,64,Higher,KAVADIA JAYANTIBHAI RAMJIBHAI,BJP,87621,DHRANGADHRA,47.61,9.46,72.45611645
2012,64,Lower,JAYESHBHAI HARILAL PATEL,INC,70218,DHRANGADHRA,38.15,31.14,72.45611645
2012,65,Higher,AMRUTIYA KANTILAL SHIVABHAI,BJP,77386,MORVI,48.01,1.71,29.86204858
2012,65,Lower,BRIJESH MERJA,INC,74626,MORVI,46.3,44.71,29.86204858
2012,66,Higher,KUNDARIYA MOHANBHAI KALYANJIBHAI,BJP,63630,TANKARA,42.42,10.27,89.88871528
2012,66,Lower,VADAVIYA MAGANBHAI DHANJIBHAI,INC,48223,TANKARA,32.15,21.65,89.88871528
2012,67,Higher,PEERZADA MAHMAD JAVID ABDUL MUTLEEB,INC,59038,WANKANER,38.92,3.5,77.19769019
2012,67,Lower,SOMANI JITENDRABHAI KANTILAL (JITU SOMANI),BJP,53727,WANKANER,35.41,15.43,77.19769019
2012,68,Higher,RAJGURU INDRANIL SANJAYBHAI,INC,60877,RAJKOT EAST,41.97,2.95,0
2012,68,Lower,SHUKLA KASHYAP CHIMANBHAI,BJP,56605,RAJKOT EAST,39.03,25.24,0
2012,69,Higher,VAJUBHAI RUDABHAI VALA,BJP,90405,RAJKOT WEST,54.17,14.97,0
2012,69,Lower,ATUL RASIKBHAI RAJANI,INC,65427,RAJKOT WEST,39.2,36.09,0
2012,70,Higher,GOVIND PATEL,BJP,77308,RAJKOT SOUTH,56.49,20.81,0
2012,70,Lower,DONGA MITUL HIMATBHAI,INC,48831,RAJKOT SOUTH,35.68,29.54,0
2012,71,Higher,BHANUBEN MANOHARBHAI BABARIYA,BJP,57753,RAJKOT RURAL,38.61,7.67,51.85858752
2012,71,Lower,SAGATHIYA LAKHABHAI JETHABHAI,INC,46287,RAJKOT RURAL,30.95,6.58,51.85858752
2012,72,Higher,GOHEL BHOLABHAI BHIKHABHAI,INC,78055,JASDAN,47.48,6.6,85.22134603
2012,72,Lower,DR. BHARATBHAI KHODABHAI BOGHRA,BJP,67208,JASDAN,40.88,36.61,85.22134603
2012,73,Higher,JADEJA JAYRAJSINH TEMUBHA,BJP,79709,GONDAL,53.74,13.33,59.32651315
2012,74,Higher,RADADIYA JAYESHBHAI VITTHALBHAI,INC,85827,JETPUR,50.5,10.61,60.9627298
2012,74,Lower,KORAT JASHUBEN SAVJIBHAI,BJP,67794,JETPUR,39.89,38.39,60.9627298
2012,75,Higher,RADADIYA VITHALBHAI HANSRAJBHAI,INC,76189,DHORAJI,46.46,1.79,51.42567164
2012,75,Lower,HARILAL MADHAVJIBHAI PATEL,BJP,73246,DHORAJI,44.67,43.15,51.42567164
2012,76,Higher,CHAVDA MEGHJIBHAI AMARABHAI,BJP,49027,KALAWAD,36.47,4.55,79.55593948
2012,76,Lower,PARMAR DINESHBHAI RUDABHAI  (DR. DINESH  PARMAR),INC,42908,KALAWAD,31.92,7.06,79.55593948
2012,77,Higher,RAGHAVJIBHAI HANSRAJBHAI PATEL,INC,60499,JAMNAGAR RURAL,44.76,2.44,86.86136257
2012,77,Lower,FALDU RANCHHODBHAI CHANABHAI (R.C. FALDU),BJP,57195,JAMNAGAR RURAL,42.31,38.71,86.86136257
2012,78,Higher,JADEJA DHARMENDRASINH MERUBHA (HAKUBHA JADEJA),INC,61642,JAMNAGAR NORTH,50.54,7.75,0
2012,78,Lower,BERA MULUBHAI HARDASBHAI,BJP,52194,JAMNAGAR NORTH,42.79,40.91,0
2012,79,Higher,TRIVEDI VASUBEN NARENDRABHAI,BJP,55894,JAMNAGAR SOUTH,46.16,2.36,0
2012,79,Lower,LAL JITENDRA HARIDAS (JITU LAL),INC,53032,JAMNAGAR SOUTH,43.8,39.05,0
2012,80,Higher,SHAPRIYA CHIMANBHAI DHARAMSHIBHAI,BJP,75395,JAMJODHPUR,55.45,20.73,90.56004608
2012,80,Lower,AHIR HARDAS KARSHAN KHAVA,INC,47204,JAMJODHPUR,34.72,29.92,90.56004608
2012,81,Higher,POONAMBEN HEMATBHAI MADAM,BJP,79087,KHAMBHALIA,50.13,24.33,67.98159567
2012,81,Lower,AHIR EBHA KARSAN KARMUR,INC,40705,KHAMBHALIA,25.8,15.81,67.98159567
2012,82,Higher,PABUBHA VIRAMBHA MANEK,BJP,70062,DWARKA,47.23,3.79,64.73132283
2012,82,Lower,AHIR KANDORIYA MULUBHAI RANMALBHAI,INC,64446,DWARKA,43.44,40.72,64.73132283
