Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,27,2,PRAFULBHAI KHODABHAI PATEL,BJP,72652,HIMATNAGAR,41.61,39.67,70.25183661
2012,27,3,SHEKH ASLAMBHAI  SABDAR HUSEIN,IND,3394,HIMATNAGAR,1.94,0.36,70.25183661
2012,27,4,SIPAI  IMRAN MAHAMADBHAI,IND,2769,HIMATNAGAR,1.59,0.5,70.25183661
2012,27,5,PARMAR SARDARSINH BHAVANSINH,IND,1895,HIMATNAGAR,1.09,0.2,70.25183661
2012,27,6,JADEJA RANMALSINH NATHUSINH,BSP,1550,HIMATNAGAR,0.89,0.05,70.25183661
2012,27,7,SANGHANI MUSTAKBHAI JAMALBHAI,IND,1467,HIMATNAGAR,0.84,0.06,70.25183661
2012,27,8,VANKAR HASAMUKHBHAI PUNJABHAI,IND,1354,HIMATNAGAR,0.78,0.17,70.25183661
2012,27,9,CHAMAR PASHABHAI JIVABHAI,LJP,1063,HIMATNAGAR,0.61,0.15,70.25183661
2012,27,10,VAGHELA UDESINH BADARJI,IND,807,HIMATNAGAR,0.46,0.08,70.25183661
2012,27,11,RATHOD RAMSINH PARABATSINH,IND,659,HIMATNAGAR,0.38,0.12,70.25183661
2012,27,12,DHANGA MOBINBHAI AKBARBHAI,IND,458,HIMATNAGAR,0.26,0.04,70.25183661
2012,27,13,CHAUHAN BHIMSINH LAXMANSINH,GPP,387,HIMATNAGAR,0.22,0.05,70.25183661
2012,27,14,BALOCH IMRANKHAN HERUKHAN,SP,292,HIMATNAGAR,0.17,0.01,70.25183661
2012,27,15,PARMAR RAMANBHAI PUNJABHAI,IND,266,HIMATNAGAR,0.15,0.02,70.25183661
2012,27,16,CHENAVA SURESHBHAI NAGARBHAI,IND,228,HIMATNAGAR,0.13,0.01,70.25183661
2012,27,17,KADRI MAKHDUMALI USMANMIYA,IND,207,HIMATNAGAR,0.12,0.04,70.25183661
2012,27,18,KAJI FARUKMIYA MAHEBUBMIYA,IND,142,HIMATNAGAR,0.08,0,70.25183661
2012,28,1,RAMANLAL ISHVARLAL VORA,BJP,90279,IDAR,49.38,6.22,82.02711692
2012,28,2,SOLANKI RAMABHAI VIRCHANDBHAI,INC,78899,IDAR,43.15,40.98,82.02711692
2012,28,3,SOLANKI NATVARBHAI GOVABHAI,IND,3975,IDAR,2.17,0.28,82.02711692
2012,28,4,BHAMBHI CHANDUBHAI MULCHANDBHAI,BSP,3467,IDAR,1.9,0.61,82.02711692
2012,28,5,VANKAR PANABHAI KODARBHAI,IND,2349,IDAR,1.28,0.13,82.02711692
2012,28,6,AMIN DHIRUBHAI PUNJABHAI,GPP,2110,IDAR,1.15,0.19,82.02711692
2012,28,7,CHAUHAN KANUBHAI RAYJIBHAI,JD(U),1763,IDAR,0.96,0,82.02711692
2012,29,1,ASHWIN KOTVAL,INC,88488,KHEDBRAHMA,59.35,33.63,92.17228578
2012,29,2,MAKWANA BHOJABHAI HUJABHAI,BJP,38351,KHEDBRAHMA,25.72,18.15,92.17228578
2012,29,3,DHRANGI RUMALBHAI ARJANBHAI,IND,11294,KHEDBRAHMA,7.58,5.15,92.17228578
2012,29,4,PARMAR KANTILAL DHARMAJI,CPM,3619,KHEDBRAHMA,2.43,1.12,92.17228578
2012,29,5,SOLANKI CHHAGANBHAI KEVLABHAI,GPP,1956,KHEDBRAHMA,1.31,0.4,92.17228578
2012,29,6,PARGI RESHMABHAI NETABHAI,BSP,1355,KHEDBRAHMA,0.91,0.12,92.17228578
2012,29,7,SOTHA SAVJIBHAI BADAJI,IJP,1171,KHEDBRAHMA,0.79,0,92.17228578
2012,29,8,DABHI DEVABHAI HIRABHAI,CPI(ML)(L),1169,KHEDBRAHMA,0.78,0.18,92.17228578
2012,29,9,DAMOR SAYBABHAI HOMABHAI,BNJD,903,KHEDBRAHMA,0.61,0.08,92.17228578
2012,29,10,DAMOR CLERANCE KUMAR AJITKUMAR,SP,789,KHEDBRAHMA,0.53,0,92.17228578
2012,30,1,ANIL JOSHIYARA,INC,95799,BHILODA,54.71,18.01,93.00224697
2012,30,2,NILABEN HASMUKHBHAI MADIYA,BJP,64256,BHILODA,36.7,33.06,93.00224697
2012,30,3,BALUSINGH SOMANSINGH NARVE,IND,6366,BHILODA,3.64,1.89,93.00224697
2012,30,4,KHARADI JIVABHAI MANABHAI,BSP,3052,BHILODA,1.74,0.5,93.00224697
2012,30,5,GAMETI JAYESHKUMAR HIRALAL,GPP,2181,BHILODA,1.25,0.2,93.00224697
2012,30,6,NINAMA DILIPKUMAR KHIMJIBHAI,IND,1830,BHILODA,1.05,0.12,93.00224697
2012,30,7,KHARADI BIPINBHAI NANJIBHAI,JD(U),1612,BHILODA,0.92,0,93.00224697
2012,31,1,THAKOR RAJENDRASINH SHIVSINH,INC,88879,MODASA,54.11,13.92,79.46064768
2012,31,2,PARMAR DILIPSINH VAKHATSINH,BJP,66021,MODASA,40.19,36.63,79.46064768
2012,31,3,SURESHKUMAR JYANTILAL PATEL,IND,5854,MODASA,3.56,2.58,79.46064768
2012,31,4,ANANTBHAI SHANKARBHAI PATEL,GPP,1624,MODASA,0.99,0.27,79.46064768
2012,31,5,PANCHAL BHIKHABHAI TULJABHAI,BSP,1181,MODASA,0.72,0.3,79.46064768
2012,31,6,PAGI KESHAJI KALAJI,CPI(ML)(L),695,MODASA,0.42,0,79.46064768
2012,32,1,VAGHELA MAHENDRASINH SHANKARSINH,INC,74646,BAYAD,48.57,23.37,89.65351758
2012,32,2,JHALA UDESINH PUJAJI,BJP,38723,BAYAD,25.19,6.42,89.65351758
2012,32,3,CHUNIBHAI BABABHAI PATEL,IND,28859,BAYAD,18.78,14.3,89.65351758
2012,32,4,SOLANKI RAMSINH RUPSINH,IND,6873,BAYAD,4.47,2.77,89.65351758
2012,32,5,SOLANKI KUBERSINH CHHAGANSINH,IND,2617,BAYAD,1.7,0.42,89.65351758
2012,32,6,PANDYA MAHESHKUMAR HIRABHAI,SP,1977,BAYAD,1.29,0,89.65351758
2012,33,1,BARAIYA MAHENDRASINH KACHARSINH ( ADVOCATE ),INC,76097,PRANTIJ,47.85,4.41,86.71381454
2012,33,2,CHAUHAN JAYSINHJI MANSINHJI,BJP,69083,PRANTIJ,43.44,39.74,86.71381454
2012,33,3,PANWALA MAHAMMAD SHAFIK ABDUL KADAR,IND,5881,PRANTIJ,3.7,1.99,86.71381454
2012,33,4,ARVINDBHAI AMBALAL PATEL,IND,2716,PRANTIJ,1.71,0.67,86.71381454
2012,33,5,NIKHILKUMAR MITHABHAI PATEL,GPP,1654,PRANTIJ,1.04,0.18,86.71381454
2012,33,6,RATHOD RAJENDRASINH PUNJSINH,BSP,1362,PRANTIJ,0.86,0.23,86.71381454
2012,33,7,ZALA HIMMATSINH TEJSINH,LoRP,999,PRANTIJ,0.63,0.26,86.71381454
2012,33,8,ZALA NARENDRASINH JIVATSINH,BNJD,584,PRANTIJ,0.37,0.13,86.71381454
2012,33,9,CHAUHAN ANJANABEN RANJITSINH,SP,380,PRANTIJ,0.24,0.06,86.71381454
2012,33,10,JOSHI PARESHKUMAR PRAVINCHAND,BhJD,285,PRANTIJ,0.18,0,86.71381454
2012,34,1,RATHOD KAMINIBA BHUPENDRASINH,INC,61043,DEHGAM,47.5,1.79,77.32280114
2012,34,2,THAKOR ROHITJI CHANDUJI,BJP,58746,DEHGAM,45.71,42.45,77.32280114
2012,34,3,RAVAL KIRITKUMAR NATARVARLAL,IND,4199,DEHGAM,3.27,1.79,77.32280114
2012,34,4,RATHOD JESHANGBHAI BIJALBHAI,IND,1899,DEHGAM,1.48,0.48,77.32280114
2012,34,5,RATHOD HARSHADBHAI SHANTILAL,BSP,1282,DEHGAM,1,0.43,77.32280114
2012,34,6,SAGTHIYA CHHAGANBHAI TAPUBHAI,LoRP,731,DEHGAM,0.57,0.09,77.32280114
2012,34,7,THAKOR DASHRATHJI ANUPJI,PAP,610,DEHGAM,0.47,0,77.32280114
2012,35,1,THAKOR SHAMBHUJI CHELAJI,BJP,87999,GANDHINAGAR SOUTH,49.54,4.51,59.3200272
2012,35,2,THAKOR JUGAJI NATHAJI,INC,79988,GANDHINAGAR SOUTH,45.03,42.8,59.3200272
2012,35,3,PRASHANTKUMAR BABULAL PATEL,IND,3958,GANDHINAGAR SOUTH,2.23,0.98,59.3200272
2012,35,4,SHAILESHBHAI AMBALAL PATEL,GPP,2225,GANDHINAGAR SOUTH,1.25,0.4,59.3200272
2012,35,5,BHIKHABHAI CHIMANLAL JOSHI,BSP,1513,GANDHINAGAR SOUTH,0.85,0.07,59.3200272
2012,35,6,GOSWAMI KISHORPURI CHANDANPURI,IND,1397,GANDHINAGAR SOUTH,0.79,0.47,59.3200272
2012,35,7,THAKOR RAMILABEN SANJAYBHAI,PAP,563,GANDHINAGAR SOUTH,0.32,0,59.3200272
2012,36,1,ASHOKKUMAR RANCHHODBHAI PATEL,BJP,73551,GANDHINAGAR NORTH,49.22,2.83,16.00926415
2012,36,2,SURESHKUMAR CHATURDAS PATEL,INC,69326,GANDHINAGAR NORTH,46.39,44.9,16.00926415
2012,36,3,VIPULCHANDRA MANSUKHBHAI MUCHHADIYA,IND,2236,GANDHINAGAR NORTH,1.5,0.39,16.00926415
2012,36,4,M.R. PATEL,GPP,1660,GANDHINAGAR NORTH,1.11,0.41,16.00926415
2012,36,5,PARIKH CHIRAG NATVARLAL,BSP,1045,GANDHINAGAR NORTH,0.7,0.1,16.00926415
2012,36,6,VAGHELA SUKHDEVSINH PARBATSINH,IND,898,GANDHINAGAR NORTH,0.6,0.35,16.00926415
2012,36,7,RATHOD PRATAPSINH VARVAJI,IND,382,GANDHINAGAR NORTH,0.26,0.03,16.00926415
2012,36,8,RAJ PRAJAPATI,IND,334,GANDHINAGAR NORTH,0.22,0,16.00926415
2012,37,1,CHAUDHARI AMITBHAI HARISINGBHAI,INC,78068,MANSA,50.22,5.16,88.4389298
2012,37,2,D.D. PATEL,BJP,70040,MANSA,45.06,42.99,88.4389298
2012,37,3,PRAJAPATI VITTHALBHAI VIRADAS,IND,3216,MANSA,2.07,1.2,88.4389298
2012,37,4,THAKOR DAYALJI MANGAJI,IND,1351,MANSA,0.87,0.07,88.4389298
2012,37,5,PARMAR VITTHALBHAI SOMABHAI,BSP,1238,MANSA,0.8,0.08,88.4389298
2012,37,6,DINESH KUMAR PARSHOTTAMDAS PATEL,IND,1120,MANSA,0.72,0.45,88.4389298
2012,37,7,AMARUTBHAI MADHAVLAL PATEL,GPP,416,MANSA,0.27,0,88.4389298
2012,38,1,THAKOR BALDEVJI CHANDUJI,INC,64757,KALOL,45.25,0.24,44.18
2012,38,2,DR. ATULBHAI KALIDAS PATEL,BJP,64414,KALOL,45.01,41.11,44.18
2012,38,3,THAKOR GAMAJI AMBARAM,IND,5586,KALOL,3.9,1.9,44.18
2012,38,4,VYAS VISHNUPRASAD CHHOTALAL,IND,2870,KALOL,2.01,0.9,44.18
2012,38,5,VAGHELA SAVITABEN JAGADISHBHAI,IND,1575,KALOL,1.1,0.27,44.18
2012,38,6,MAHESHKUMAR KACHARALAL PATEL,BSP,1182,KALOL,0.83,0.38,44.18
2012,38,7,VAGHELA RAMESHBHAI DEVJIBHAI,IND,635,KALOL,0.44,0.06,44.18
2012,38,8,THAKOR GOPALJI CHUNDAJI,GPP,543,KALOL,0.38,0.16,44.18
2012,38,9,BHATT PINAKIN HASMUKHLAL,IND,307,KALOL,0.21,0.02,44.18
2012,38,10,PAREKH ARUNABEN SHIVABHAI,IND,281,KALOL,0.2,0.01,44.18
2012,38,11,ANILKUMAR SOMABHAI MAKWANA,IND,260,KALOL,0.18,0.01,44.18
2012,38,12,CHAUHAN GULAMHUSEN UMARBHAI,IND,248,KALOL,0.17,0.02,44.18
2012,38,13,KAPADIYA AMRISHKUMAR KANTILAL,IND,222,KALOL,0.16,0,44.18
2012,38,14,THAKOR DASHARTHJI MAFATJI,IND,217,KALOL,0.15,0,44.18
2012,39,1,TEJASHREEBEN DILIPKUMAR PATEL,INC,84930,VIRAMGAM,52.76,10.55,83.9052787
2012,39,2,PRAGJIBHAI NARANBHAI PATEL,BJP,67947,VIRAMGAM,42.21,39.7,83.9052787
2012,39,3,VAGHELA KISHORBHAI MAHOBATSINH,IND,4043,VIRAMGAM,2.51,1.24,83.9052787
2012,39,4,MAKWANA GABHUBHAI AMTHABHAI,LJP,2049,VIRAMGAM,1.27,0.02,83.9052787
2012,39,5,VAGHELA MAHENDRASHINH ANADABHAI,BSP,2016,VIRAMGAM,1.25,0,83.9052787
2012,40,1,KARAMSIBHAI VIRJIBHAI PATEL,INC,73453,SANAND,47.77,2.7,60.49919912
2012,40,2,KAMABHAI GAGJIBHAI RATHOD,BJP,69305,SANAND,45.07,42.25,60.49919912
2012,40,3,VAGHELA ALPESHSINH SURUBHA,IND,4329,SANAND,2.82,1.26,60.49919912
2012,40,4,SHAH JAYESHBHAI MAHESHBHAI,BSP,2389,SANAND,1.55,0.57,60.49919912
2012,40,5,PATHAN JAFRATKHAN JORAVARKHAN,IND,1509,SANAND,0.98,0,60.49919912
2012,40,6,DHARMENDRABHAI DASHRATHBHAI PATEL,GPP,1506,SANAND,0.98,0.53,60.49919912
2012,40,7,PAGI GANPATBHAI MAVJIBHAI,IND,691,SANAND,0.45,0.07,60.49919912
2012,40,8,TALPADA KOLI VIRAMBHAI RUPABHAI,IND,590,SANAND,0.38,0,60.49919912
2012,41,1,ANANDIBEN MAFATBHAI PATEL,BJP,154599,GHATLODIA,74.51,53.21,2.191265852
2012,41,2,RAMESHBHAI PRAHLADBHAI PATEL (DUDHWALA),INC,44204,GHATLODIA,21.31,19.94,2.191265852
2012,41,3,CHIRAGBHAI BHARATBHAI PATEL,GPP,2829,GHATLODIA,1.36,0.29,2.191265852
2012,41,4,RAHUL CHIMANBHAI MAHETA,IND,2236,GHATLODIA,1.08,0.23,2.191265852
2012,41,5,DODLA RAJUBHAI TEJABHAI,BSP,1761,GHATLODIA,0.85,0.57,2.191265852
2012,41,6,GUNJAN BIPINCHANDRA PATEL,IND,586,GHATLODIA,0.28,0.05,2.191265852
2012,41,7,THAKOR CHANDRASINH JAVANSINH,IND,477,GHATLODIA,0.23,0.02,2.191265852
2012,41,8,AKASH DEVKINADAN BANGA,IND,438,GHATLODIA,0.21,0.04,2.191265852
2012,41,9,JATINKUMAR CHHOTUBHAI GAJJAR,IND,346,GHATLODIA,0.17,0,2.191265852
2012,42,1,CHAUHAN KISHORSINH BABULAL (KISHOR CHAUHAN),BJP,113507,VEJALPUR,58.21,21.02,0
2012,42,2,PATHAN MURTUJAKHAN AKBAR KHAN,INC,72522,VEJALPUR,37.19,36.08,0
2012,42,3,KSHATRIY BIRJU MOTISINH,IND,2164,VEJALPUR,1.11,0.02,0
2012,42,4,DIPAKKUMAR NAVRANGBHAI KIRATSATA (DIPAK JOSHI),GPP,2133,VEJALPUR,1.09,0.64,0
2012,42,5,JASHWANTBHAI RAMJIBHAI MAKWANA,BSP,879,VEJALPUR,0.45,0.02,0
2012,42,6,AJAYBHAI KANUBHAI JOSHI,LJP,840,VEJALPUR,0.43,0.04,0
2012,42,7,SHAIKH SHAKIRHUSEN NAJIRBHAI,SP,755,VEJALPUR,0.39,0.13,0
2012,42,8,SALIMBHAI AJMERI TOURWALE,IND,501,VEJALPUR,0.26,0.02,0
2012,42,9,SHAHENAZ JAMALBHAI MALEK,IND,464,VEJALPUR,0.24,0.01,0
2012,42,10,DIPAK DHULABHAI VAGHELA(THAKOR),IND,453,VEJALPUR,0.23,0.08,0
2012,42,11,KAUSHARALI FAIYAZALI SAIYED,SP(I),300,VEJALPUR,0.15,0.07,0
2012,42,12,AARIF FOJI,IND,173,VEJALPUR,0.09,0.01,0
2012,42,13,SOLANKI TRIBHOVANDAS CHANDULAL,JD(U),156,VEJALPUR,0.08,0.01,0
2012,42,14,VIKRAMSINH JATUBHA PARMAR,VHS,141,VEJALPUR,0.07,0,0
2012,43,1,PRADIPSINH BHAGWATSINH JADEJA,BJP,95580,VATVA,59.93,29.43,66.67286443
2012,43,2,ATULKUMAR RAVJIBHAI PATEL,INC,48648,VATVA,30.5,27.6,66.67286443
2012,43,3,BHARWAD SHAILESHBHAI GANDABHAI,NCP,4633,VATVA,2.91,1.27,66.67286443
2012,43,4,SANDHI DAUD ISMAIL,IND,2604,VATVA,1.63,0.21,66.67286443
2012,43,5,PATHAN MOMINKHAN ASHRAF KHAN,IND,2277,VATVA,1.43,0.52,66.67286443
2012,43,6,VINODKUMAR DHANJIBHAI PATEL,GPP,1444,VATVA,0.91,0.11,66.67286443
2012,43,7,SAIYAD AYUBALI BARKATALI,IND,1275,VATVA,0.8,0.42,66.67286443
2012,43,8,SAIYAD RASULMIYA SAIYADMIYA,IND,606,VATVA,0.38,0.04,66.67286443
2012,43,9,VARMA RAMKIRTI JAYRAM,BSP,539,VATVA,0.34,0.08,66.67286443
2012,43,10,TANMANBEN  GHANSHYAMBHAI NAGAR,IND,406,VATVA,0.25,0.01,66.67286443
2012,43,11,PREM YOGENDRABHAI THAKKAR,IND,383,VATVA,0.24,0.04,66.67286443
2012,43,12,ANSARI MOHMADRASHID NURISLAM,IND,319,VATVA,0.2,0,66.67286443
2012,43,13,KANSARA KIRANBHAI SOMABHAI,SP,315,VATVA,0.2,0.03,66.67286443
2012,43,14,AJMERI  ILIYAS GANIBHAI,IND,261,VATVA,0.16,0.05,66.67286443
2012,43,15,SURESHBHAI MAHAVIRBHAI YADAV,JD(U),189,VATVA,0.12,0,66.67286443
2012,44,1,SHRI RAKESH SHAH,BJP,106631,ELLIS BRIDGE,70.57,50.74,0
2012,44,2,KAMLESHKUMAR BABULAL SHAH,INC,29959,ELLIS BRIDGE,19.83,13.82,0
2012,44,3,PANDYA JAGRUTIBEN HARENBHAI,GPP,9075,ELLIS BRIDGE,6.01,3.94,0
2012,44,4,SOLANKI MALABHAI HIRABHAI,LJP,3126,ELLIS BRIDGE,2.07,1.46,0
2012,44,5,CHAVDA ILABEN JESINGBHAI,BSP,926,ELLIS BRIDGE,0.61,0.11,0
2012,44,6,GUPTA DIPTIBEN VIPULBHAI,SP,767,ELLIS BRIDGE,0.51,0.1,0
2012,44,7,BHAVIK RAJA,SUCI,609,ELLIS BRIDGE,0.4,0,0
2012,45,1,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),BJP,103988,NARANPURA,69.25,42.18,0
2012,45,2,DR. JITUBHAI B. PATEL,INC,40653,NARANPURA,27.07,26.08,0
2012,45,3,HIMANSHU VIKRAMBHAI SHAH,IND,1487,NARANPURA,0.99,0.08,0
2012,45,4,KANJIBHAI LAKHUBHAI RESHIA,BSP,1360,NARANPURA,0.91,0.31,0
2012,45,5,VITTHALBHAI HIRABHAI PARMAR,LJP,889,NARANPURA,0.59,0.15,0
2012,45,6,KAMLESHBHAI BABUBHAI DHAVAL,JD(U),658,NARANPURA,0.44,0.21,0
2012,45,7,RANCHHODLAL MANILAL PARMAR,IND,343,NARANPURA,0.23,0.04,0
2012,45,8,CHANDUBHAI JUHAJI THAKOR,IND,279,NARANPURA,0.19,0.02,0
2012,45,9,MOHANBHAI PIRAJI SALAT (BAVRI),IND,253,NARANPURA,0.17,0,0
2012,45,10,RASIKBHAI NANJIBHAI PARMAR,IND,250,NARANPURA,0.17,0,0
2012,46,1,PANCHAL JAGDISH ISHWARBHAI,BJP,88286,NIKOL,61.31,33.83,0
2012,46,2,GHORI NARSINHBHAI JAYRAMBHAI,INC,39574,NIKOL,27.48,23.87,0
2012,46,3,ANSARI LIYAKATALI AAMIRAHMAD,NCP,5208,NIKOL,3.62,0.23,0
2012,46,4,DR. VASANT B. PATEL,GPP,4870,NIKOL,3.38,2.32,0
2012,46,5,YOHANBHAI DUDHABHAI CHRISTIAN,IND,1524,NIKOL,1.06,0.18,0
2012,46,6,PARMAR SURESHBHAI DAHYABHAI,BSP,1266,NIKOL,0.88,0.38,0
2012,46,7,DAHYABHAI SOLANKI,LJP,713,NIKOL,0.5,0.11,0
2012,46,8,MANSURI JAMIL AHEMAD MAHEBOOB RAHIMBAKSH,IND,556,NIKOL,0.39,0.03,0
2012,46,9,SAIYED MO.FARUK RIYASATALI,SP,512,NIKOL,0.36,0.09,0
2012,46,10,NATVARBHAI ISHAWARBHAI SAGAR,IND,382,NIKOL,0.27,0.02,0
2012,46,11,LAXMANBHAI RAMJIBHAI PATEL,IND,348,NIKOL,0.24,0.01,0
2012,46,12,GUNJANBHAI CHANDUBHAI PATEL,SVPP,329,NIKOL,0.23,0.07,0
2012,46,13,PATHAN SALMANKHAN SAMI KHAN,IJP,228,NIKOL,0.16,0.02,0
2012,46,14,ADVOCATE RAI DHIRENDRAKUMAR RAMSMAHAR,JD(U),198,NIKOL,0.14,0,0
2012,47,1,WADHWANI NIRMALABEN SUNILBHAI,BJP,96333,NARODA,66.22,40.11,0
2012,47,2,BHARWAD BHAVANBHAI SURABHAI,INC,37981,NARODA,26.11,23.05,0
2012,47,3,SONPAL PANKAJBHAI LABHSHANKAR,GPP,4451,NARODA,3.06,1.34,0
2012,47,4,KATERIYA SATISHKUMAR MOJIRAM,BSP,2502,NARODA,1.72,0.59,0
2012,47,5,MOHNANI RAMCHAND DETARAM,IND,1640,NARODA,1.13,0.43,0
2012,47,6,VIHOLA SHANKARJI JIVAJI,LoRP,1020,NARODA,0.7,0.13,0
2012,47,7,SOLANKI SHAILESHBHAI JIVABHAI,RPI(A),838,NARODA,0.58,0.1,0
2012,47,8,NAVINCHANDRA HIRALAL PATEL,IND,699,NARODA,0.48,0,0
2012,48,1,KAKADIYA VALLABHBHAI GOBARBHAI (VALLABHBHAI HIRAWALA),BJP,88731,THAKKARBAPA NAGAR,63.01,34.98,0
2012,48,2,GITABEN PRANAVKUMAR PATEL,INC,39480,THAKKARBAPA NAGAR,28.04,23.27,0
2012,48,3,SANGANI BHUPENDRABHAI DHANJIBHAI,GPP,6708,THAKKARBAPA NAGAR,4.76,3.38,0
2012,48,4,DR. SONARA KANTILAL BHAVANBHAI,IND,1947,THAKKARBAPA NAGAR,1.38,0.52,0
2012,48,5,CHAUHAN DINESHKUMAR SHANKARLAL (BACHCHANBHAI MALI),CPI,1214,THAKKARBAPA NAGAR,0.86,0.05,0
2012,48,6,JADAV KALUBHAI DESHABHAI,BSP,1148,THAKKARBAPA NAGAR,0.82,0.41,0
2012,48,7,SHARMA BRIJESH KUMAR UJAGARLAL,IND,576,THAKKARBAPA NAGAR,0.41,0.04,0
2012,48,8,PAVAN LAKHANI,RSP(S),521,THAKKARBAPA NAGAR,0.37,0.19,0
2012,48,9,BUDDHAPRIYA JASHVANT SOMABHAI,PAP,247,THAKKARBAPA NAGAR,0.18,0,0
2012,48,10,KOYANI MANUBHAI VALLABHABHAI,IND,245,THAKKARBAPA NAGAR,0.17,0,0
2012,49,1,RAJPUT JAGRUPSINH GIRDANSINH,BJP,51058,BAPUNAGAR,45.29,2.31,0
2012,49,2,SHYANI DHIRUBHAI THAKARSHIBHAI (DHIRUBHAI DHUDHWALA),INC,48455,BAPUNAGAR,42.99,40.16,0
2012,49,3,VORA RATNABEN DAHYABHAI,NCP,3185,BAPUNAGAR,2.83,0.16,0
2012,49,4,PATANI MUKESHBHAI LAXMANBHAI,GPP,3006,BAPUNAGAR,2.67,0.37,0
2012,49,5,PATHAN JAFARKHAN JABBARKHAN,IND,2584,BAPUNAGAR,2.29,1.15,0
2012,49,6,BALDEVBHAI MAGANLAL PATEL,BSP,1283,BAPUNAGAR,1.14,0.1,0
2012,49,7,VAGHELA KANJIBHAI KHANABHAI,IND,1172,BAPUNAGAR,1.04,0.56,0
2012,49,8,RATHOD PIYUSH HARJIVANDAS,IND,545,BAPUNAGAR,0.48,0.1,0
2012,49,9,FIROJKHAN HAFIZKHAN PATHAN,IND,430,BAPUNAGAR,0.38,0.15,0
2012,49,10,MEMAN HARUNBHAI GANIBHAI,SP,260,BAPUNAGAR,0.23,0.01,0
2012,49,11,RATHOD NARANBHAI LAVJIBHAI,IND,244,BAPUNAGAR,0.22,0.03,0
2012,49,12,DR. NARANBHAI T. SENGAL,BSDL,207,BAPUNAGAR,0.18,0.04,0
2012,49,13,ANSARI MOHAMAD HUSAIN LIYAKAT HUSAIN,IND,157,BAPUNAGAR,0.14,0.02,0
2012,49,14,SAIYAD SHAKILAHEMAD ALIABBAS,LoRP,139,BAPUNAGAR,0.12,0,0
2012,50,1,HASMUKHBHAI SOMABHAI PATEL,BJP,108683,AMRAIWADI,67.42,40.58,0
2012,50,2,GADHVI BIPINBHAI GOPALBHAI,INC,43258,AMRAIWADI,26.83,24.57,0
2012,50,3,KORADIYA KALYANBHAI ALJIBHAI,BSP,3645,AMRAIWADI,2.26,1.1,0
2012,50,4,VISHNUBHAI RANCHODBHAI PATEL,GPP,1876,AMRAIWADI,1.16,0.32,0
2012,50,5,VISHVAKARMA GYANENDRA DAYANAND,IND,1356,AMRAIWADI,0.84,0.22,0
2012,50,6,ANILKUMAR SURYANATH CHATURVEDI,RSP(S),1001,AMRAIWADI,0.62,0.18,0
2012,50,7,PATANVADIYA LAXMANBHAI GEMAJI,CPI(ML)(L),704,AMRAIWADI,0.44,0.01,0
2012,50,8,KANAIYALAL MALAJI NATHUJI KHATIK,IND,689,AMRAIWADI,0.43,0,0
2012,51,1,GYASUDDIN HABIBUDDIN SHEKH,INC,60967,DARIAPUR,49.18,2.11,0
2012,51,2,BHARAT BAROT,BJP,58346,DARIAPUR,47.07,46.17,0
2012,51,3,SHRIMALI RAMESHBHAI PRABHUDAS,IND,1111,DARIAPUR,0.9,0.28,0
2012,51,4,JULAYA ABDUL MUKHATYAR NURMAHAMMAD (MUKHTIYAR SONI),BSP,763,DARIAPUR,0.62,0.06,0
2012,51,5,SHEKH MOHAMAD FARUK HUSENMIYA (FARUK SHEIKH),IND,693,DARIAPUR,0.56,0.14,0
2012,51,6,AAKASH DUTT (ADVOCATE),JD(U),521,DARIAPUR,0.42,0.22,0
2012,51,7,HUSENBHAI ANSARI,IND,248,DARIAPUR,0.2,0,0
2012,51,8,BHAVSAR RAJESHRIBEN MANHARLAL,DBSP,245,DARIAPUR,0.2,0.01,0
2012,51,9,SHEKH GULAMRASUL ISMAILBHAI,IND,238,DARIAPUR,0.19,0.04,0
2012,51,10,SURESHBHAI JAYANTIBHAI SOLANKI,IND,185,DARIAPUR,0.15,0.04,0
2012,51,11,MIYANA UMARBHAI ALLARAMBHAI,IND,137,DARIAPUR,0.11,0.02,0
2012,51,12,ALL KAIUM,IND,116,DARIAPUR,0.09,0.01,0
2012,51,13,BAGBAN GULAMRASUL GULAMNABI,IND,108,DARIAPUR,0.09,0,0
2012,51,14,DHIRUBHAI SOLANKI,IND,106,DARIAPUR,0.09,0.01,0
2012,51,15,GANDHI NARESH,IND,89,DARIAPUR,0.07,0,0
2012,51,16,KHALIFA SAMSUDDIN NASIRUDDIN ALIAS JUGNU,IND,85,DARIAPUR,0.07,0,0
2012,52,1,BHATT BHUSHAN ASHOK,BJP,48058,JAMALPUR-KHADIA,38.63,5.09,0
2012,52,2,SAMIRKHAN VAJIRKHAN SIPAI,INC,41727,JAMALPUR-KHADIA,33.54,9.01,0
2012,52,3,SABIRBHAI KABLIWALA,IND,30513,JAMALPUR-KHADIA,24.53,23.65,0
2012,52,4,PATHAN MAJHAR RAHEMAN ARJUMANDKHAN,BSP,1093,JAMALPUR-KHADIA,0.88,0.09,0
2012,52,5,SHEKH RAFIKULMURSALIN ABDUL RAHMAN,IND,980,JAMALPUR-KHADIA,0.79,0.21,0
2012,52,6,BHATT VRAJESHBHAI BHAGAWATIPRASAD,GPP,713,JAMALPUR-KHADIA,0.57,0.15,0
